term,tf,df,idf
flow,1852,702,1.689584654526342
results,885,597,1.8513507923863752
pressure,1216,520,1.9891915045836401
number,974,485,2.058732922436513
boundary,1187,460,2.1115435033403585
theory,790,432,2.174203818334517
two,639,432,2.174203818334517
obtained,539,407,2.233674371932845
layer,1032,398,2.2559801294471438
mach,822,387,2.283936206713734
given,521,387,2.283936206713734
method,688,366,2.339579698282437
made,449,352,2.37847348940371
presented,423,330,2.442823170959944
effects,511,326,2.4549813754397536
found,422,320,2.4735004232069913
experimental,423,318,2.4797504435521622
also,362,308,2.5116002694392616
surface,588,296,2.5512094075343077
equations,477,287,2.581981066201061
velocity,507,286,2.585459330577386
conditions,411,285,2.5889497355171542
shown,347,285,2.5889497355171542
analysis,387,278,2.613729764515641
between,357,278,2.613729764515641
solution,498,275,2.624540680619857
effect,409,272,2.6354697511520473
some,357,271,2.6391394800410097
case,364,268,2.6502301667351675
supersonic,467,267,2.65395456582615
range,381,264,2.6652117203507846
used,312,260,2.680421139014314
over,387,259,2.6842599153214795
one,314,259,2.6842599153214795
heat,634,254,2.703678001178581
ratio,468,251,2.7155124588255837
temperature,524,250,2.719488607205223
distribution,388,244,2.74368333579228
numbers,373,240,2.760144612846352
small,314,239,2.764302622995016
shock,721,237,2.7726708726655325
problem,364,237,2.7726708726655325
dimensional,361,237,2.7726708726655325
high,336,236,2.776881405201876
laminar,428,234,2.785356032192848
stream,379,232,2.7939030927713064
solutions,351,222,2.837769774876888
body,550,221,2.8422641644647273
free,376,217,2.8604464835479178
data,325,217,2.8604464835479178
theoretical,282,217,2.8604464835479178
considered,258,217,2.8604464835479178
investigation,281,216,2.8650441927965478
general,260,214,2.874303518209344
discussed,232,205,2.9170653775474262
transfer,481,201,2.9366738489358024
only,222,200,2.9416366382779313
reynolds,383,199,2.9466241797889703
large,264,199,2.9466241797889703
paper,236,197,2.956674515642472
form,239,196,2.9617378175990186
both,226,196,2.9617378175990186
under,260,195,2.96682688710649
based,217,194,2.9719419877732602
compared,214,193,2.977083387273679
values,263,192,2.9822513574321214
order,281,191,2.9874461743092255
flat,290,186,3.01383292948242
plate,394,184,3.024585721258682
air,335,184,3.024585721258682
simple,222,184,3.024585721258682
all,212,184,3.024585721258682
wing,556,181,3.040934859260212
agreement,221,181,3.040934859260212
present,216,180,3.0464445150711814
speed,277,178,3.057555740496252
equation,298,177,3.063157996044922
developed,192,175,3.0744575512988552
approximate,215,173,3.085886247122478
tunnel,272,172,3.091649951839228
point,264,172,3.091649951839228
first,227,171,3.097447069523554
use,205,171,3.097447069523554
hypersonic,351,170,3.103277989834347
numerical,226,170,3.103277989834347
wave,335,168,3.1150428314139336
angle,308,167,3.120977566933748
value,230,167,3.120977566933748
well,188,167,3.120977566933748
constant,233,166,3.1269477339202516
aerodynamic,278,163,3.1450751185128087
thickness,246,162,3.1511913455302447
measurements,237,162,3.1511913455302447
calculated,199,161,3.157345211104623
various,185,160,3.163537181352544
its,188,159,3.16976773110318
speeds,236,158,3.1760373441167755
more,176,158,3.1760373441167755
bodies,304,157,3.18234651331004
tests,234,156,3.188695740988699
characteristics,228,155,3.19508553908747
low,216,154,3.2015164294177603
edge,323,153,3.207988943923378
fluid,235,153,3.207988943923378
derived,171,153,3.207988943923378
same,182,152,3.2145036249445713
using,170,152,3.2145036249445713
wall,298,151,3.2210610254907306
methods,200,151,3.2210610254907306
cases,182,151,3.2210610254907306
applied,166,150,3.2276617095220828
region,248,149,3.234306252240751
type,187,149,3.234306252240751
field,250,147,3.247729272572892
problems,227,146,3.2545089595582706
due,171,143,3.2751282467610063
distributions,219,142,3.2820969160770996
terms,173,142,3.2820969160770996
through,188,141,3.289114488735746
three,196,140,3.2961816559588386
study,165,140,3.2961816559588386
model,231,139,3.3032991237277027
determined,160,139,3.3032991237277027
coefficient,194,138,3.310467613206315
flows,225,137,3.3176878611798024
10,189,137,3.3176878611798024
along,173,137,3.3176878611798024
no,159,137,3.3176878611798024
drag,314,136,3.324960620508882
circular,205,136,3.324960620508882
zero,182,136,3.324960620508882
good,146,136,3.324960620508882
gas,267,135,3.332286660600955
thin,209,135,3.332286660600955
lift,349,134,3.3396667678985774
stagnation,252,134,3.3396667678985774
flight,218,134,3.3396667678985774
shape,196,134,3.3396667678985774
function,201,133,3.3471017463860955
up,169,133,3.3471017463860955
incompressible,175,132,3.3545924181152533
cylinder,281,131,3.362139623750636
turbulent,304,128,3.3851291419753347
wind,182,127,3.3929112824173897
very,148,125,3.408659639385529
wings,274,124,3.416627809034706
out,132,124,3.416627809034706
uniform,164,123,3.42465998073197
investigated,143,123,3.42465998073197
viscous,197,122,3.4327571909645895
design,188,122,3.4327571909645895
normal,170,121,3.4409205016037503
buckling,291,120,3.449151000740266
blunt,183,120,3.449151000740266
calculations,143,120,3.449151000740266
any,141,120,3.449151000740266
time,185,119,3.4574498035549612
several,147,119,3.4574498035549612
leading,241,118,3.465818053225478
certain,131,118,3.465818053225478
test,168,117,3.4742569218713424
stress,224,115,3.4913513552306426
coefficients,196,115,3.4913513552306426
maximum,183,115,3.4913513552306426
local,169,115,3.4913513552306426
section,177,113,3.5087430979425114
assumed,136,113,3.5087430979425114
possible,132,113,3.5087430979425114
attack,229,112,3.5175537276246662
subsonic,163,112,3.5175537276246662
motion,166,111,3.5264426750419124
axial,166,110,3.5354113450246727
if,161,110,3.5354113450246727
measured,147,110,3.5354113450246727
however,124,110,3.5354113450246727
similar,140,109,3.544461180544591
show,119,109,3.544461180544591
stability,201,108,3.5535936641078636
near,146,108,3.5535936641078636
particular,123,108,3.5535936641078636
within,119,107,3.562810319212787
compressible,173,106,3.572112711875101
second,150,106,3.572112711875101
approximation,135,106,3.572112711875101
exact,128,106,3.572112711875101
different,125,106,3.572112711875101
higher,120,106,3.572112711875101
comparison,120,105,3.5815024522249397
described,114,105,3.5815024522249397
steady,149,104,3.5909811961794835
having,120,104,3.5909811961794835
application,119,104,3.5909811961794835
force,189,103,3.6005506471956346
means,113,103,3.6005506471956346
properties,143,102,3.610212558107371
differential,138,102,3.610212558107371
determine,110,102,3.610212558107371
rate,157,100,3.629821029495748
ratios,146,100,3.629821029495748
cylindrical,167,99,3.6397713603489157
calculation,130,99,3.6397713603489157
note,110,99,3.6397713603489157
separation,201,98,3.6498216962024173
distance,137,98,3.6498216962024173
energy,134,98,3.6498216962024173
increase,133,98,3.6498216962024173
so,110,98,3.6498216962024173
length,160,97,3.659974067666435
each,114,97,3.659974067666435
angles,164,96,3.6702305678336242
linear,128,96,3.6702305678336242
skin,201,95,3.680593354869171
influence,128,95,3.680593354869171
corresponding,117,95,3.680593354869171
approximately,114,94,3.6910646547364663
indicate,99,94,3.6910646547364663
slender,180,93,3.701646764067003
pressures,147,93,3.701646764067003
most,105,93,3.701646764067003
jet,424,92,3.712342053183751
cone,184,92,3.712342053183751
parameter,135,91,3.7231529692879666
included,97,91,3.7231529692879666
shear,189,90,3.734082039820157
static,165,89,3.745131876006742
loading,126,89,3.745131876006742
known,104,89,3.745131876006742
including,94,89,3.745131876006742
experiments,108,88,3.7563051766048674
transition,252,87,3.7676047318588006
nose,195,87,3.7676047318588006
plane,147,87,3.7676047318588006
part,131,87,3.7676047318588006
variation,124,87,3.7676047318588006
total,117,87,3.7676047318588006
arbitrary,114,87,3.7676047318588006
being,96,87,3.7676047318588006
thermal,173,86,3.7790334276824233
predicted,107,86,3.7790334276824233
work,105,86,3.7790334276824233
shells,174,85,3.7905942500834993
initial,138,85,3.7905942500834993
series,121,85,3.7905942500834993
required,96,85,3.7905942500834993
friction,156,84,3.8022902898466904
waves,150,84,3.8022902898466904
density,132,84,3.8022902898466904
past,122,84,3.8022902898466904
reduced,101,84,3.8022902898466904
load,140,83,3.8141247474936932
finite,112,83,3.8141247474936932
result,94,83,3.8141247474936932
cylinders,168,82,3.826100938540409
equilibrium,155,82,3.826100938540409
interaction,143,82,3.826100938540409
per,103,82,3.826100938540409
less,96,82,3.826100938540409
forces,127,81,3.838222299072754
gradient,126,81,3.838222299072754
shapes,111,81,3.838222299072754
parameters,100,81,3.838222299072754
available,91,80,3.8504923916645684
inviscid,118,79,3.8629149116631254
example,83,79,3.8629149116631254
functions,127,78,3.8754936938699855
moment,118,78,3.8754936938699855
condition,105,78,3.8754936938699855
new,104,78,3.8754936938699855
revolution,126,77,3.8882327196474153
report,84,77,3.8882327196474153
thus,83,77,3.8882327196474153
without,84,76,3.9011361244833234
heating,136,75,3.914208206050676
accuracy,91,75,3.914208206050676
important,84,75,3.914208206050676
elastic,105,74,3.9274534328006965
surfaces,103,74,3.9274534328006965
upon,96,74,3.9274534328006965
indicated,89,74,3.9274534328006965
layers,131,73,3.9408764531328373
stresses,119,73,3.9408764531328373
practical,80,73,3.9408764531328373
plates,132,72,3.954482105188616
integral,109,72,3.954482105188616
external,105,72,3.954482105188616
modified,88,72,3.954482105188616
direction,85,72,3.954482105188616
gives,80,72,3.954482105188616
applicable,79,72,3.954482105188616
nozzle,185,71,3.9682754273209517
aircraft,131,71,3.9682754273209517
mass,111,71,3.9682754273209517
power,102,71,3.9682754273209517
increasing,96,71,3.9682754273209517
further,80,71,3.9682754273209517
either,80,71,3.9682754273209517
critical,123,70,3.9822616692956916
development,88,70,3.9822616692956916
procedure,86,70,3.9822616692956916
lower,82,70,3.9822616692956916
special,75,70,3.9822616692956916
temperatures,105,69,3.996446304287648
infinite,84,69,3.996446304287648
above,76,69,3.996446304287648
account,70,69,3.996446304287648
edges,109,68,4.010835041739748
behind,108,68,4.010835041739748
cross,102,68,4.010835041739748
presence,81,68,4.010835041739748
greater,77,68,4.010835041739748
basis,76,68,4.010835041739748
bending,127,67,4.0254338411609005
rates,116,67,4.0254338411609005
profiles,92,67,4.0254338411609005
system,90,67,4.0254338411609005
associated,84,67,4.0254338411609005
give,69,67,4.0254338411609005
dynamic,94,66,4.040248926946041
induced,91,66,4.040248926946041
analytical,78,66,4.040248926946041
much,72,66,4.040248926946041
percent,104,65,4.055286804310581
diameter,93,65,4.055286804310581
curves,90,65,4.055286804310581
experiment,84,65,4.055286804310581
parallel,78,65,4.055286804310581
studied,74,65,4.055286804310581
magnitude,73,65,4.055286804310581
here,72,65,4.055286804310581
resulting,68,65,4.055286804310581
models,103,64,4.07055427644137
increased,89,64,4.07055427644137
structure,86,64,4.07055427644137
subjected,76,64,4.07055427644137
conducted,73,64,4.07055427644137
transonic,120,63,4.086058462977335
conical,116,63,4.086058462977335
downstream,97,63,4.086058462977335
viscosity,88,63,4.086058462977335
non,87,63,4.086058462977335
tested,73,63,4.086058462977335
addition,73,63,4.086058462977335
studies,73,63,4.086058462977335
treated,73,63,4.086058462977335
below,68,63,4.086058462977335
behavior,75,62,4.101806819945475
occur,71,62,4.101806819945475
types,70,62,4.101806819945475
although,66,62,4.101806819945475
expansion,103,61,4.117807161291916
observed,76,61,4.117807161291916
single,73,61,4.117807161291916
technique,72,61,4.117807161291916
they,69,61,4.117807161291916
because,66,61,4.117807161291916
discussion,65,61,4.117807161291916
change,78,60,4.134067682163696
approach,77,60,4.134067682163696
long,73,60,4.134067682163696
assumption,68,60,4.134067682163696
accurate,67,60,4.134067682163696
approximations,63,60,4.134067682163696
carried,62,60,4.134067682163696
shell,120,59,4.150596984114906
displacement,86,59,4.150596984114906
prandtl,75,59,4.150596984114906
complete,67,59,4.150596984114906
extended,66,59,4.150596984114906
taken,64,59,4.150596984114906
manner,62,59,4.150596984114906
necessary,62,59,4.150596984114906
tube,126,58,4.167404102431288
aspect,111,58,4.167404102431288
transverse,96,58,4.167404102431288
theories,93,58,4.167404102431288
deflection,84,57,4.1844985357905875
symmetric,81,57,4.1844985357905875
changes,72,57,4.1844985357905875
determination,63,57,4.1844985357905875
significant,62,57,4.1844985357905875
investigations,61,57,4.1844985357905875
previously,59,57,4.1844985357905875
flutter,237,56,4.201890278502457
profile,92,56,4.201890278502457
specific,75,56,4.201890278502457
momentum,68,56,4.201890278502457
sonic,91,55,4.219589855601858
loads,90,55,4.219589855601858
rectangular,82,55,4.219589855601858
velocities,73,55,4.219589855601858
main,68,55,4.219589855601858
recent,66,55,4.219589855601858
around,64,55,4.219589855601858
obtain,58,55,4.219589855601858
potential,80,54,4.237608361104536
research,68,54,4.237608361104536
set,65,54,4.237608361104536
airfoil,125,53,4.255957499772732
cones,108,53,4.255957499772732
atmosphere,89,53,4.255957499772732
mean,81,53,4.255957499772732
incidence,80,53,4.255957499772732
compression,78,53,4.255957499772732
sharp,74,53,4.255957499772732
strength,74,53,4.255957499772732
material,74,53,4.255957499772732
variations,73,53,4.255957499772732
expressions,71,53,4.255957499772732
state,62,53,4.255957499772732
000,101,52,4.274649632784885
line,79,52,4.274649632784885
pitching,70,52,4.274649632784885
15,62,52,4.274649632784885
physical,60,52,4.274649632784885
examples,57,52,4.274649632784885
except,53,52,4.274649632784885
radius,70,51,4.2936978277555795
axisymmetric,69,51,4.2936978277555795
linearized,65,51,4.2936978277555795
location,64,51,4.2936978277555795
assumptions,62,51,4.2936978277555795
applications,59,51,4.2936978277555795
previous,55,51,4.2936978277555795
consideration,53,51,4.2936978277555795
detail,53,51,4.2936978277555795
base,156,50,4.313115913612681
similarity,91,50,4.313115913612681
configurations,74,50,4.313115913612681
half,71,50,4.313115913612681
relation,66,50,4.313115913612681
during,66,50,4.313115913612681
square,60,50,4.313115913612681
employed,54,50,4.313115913612681
independent,54,50,4.313115913612681
shows,52,50,4.313115913612681
purpose,51,50,4.313115913612681
must,59,49,4.332918540908861
solved,59,49,4.332918540908861
calculating,56,49,4.332918540908861
20,53,49,4.332918540908861
since,53,49,4.332918540908861
satisfactory,52,49,4.332918540908861
include,52,49,4.332918540908861
determining,52,49,4.332918540908861
analyzed,50,49,4.332918540908861
area,88,48,4.353121248226381
axis,68,48,4.353121248226381
longitudinal,67,48,4.353121248226381
points,62,48,4.353121248226381
correlation,62,48,4.353121248226381
portion,61,48,4.353121248226381
valid,59,48,4.353121248226381
even,52,48,4.353121248226381
while,51,48,4.353121248226381
appears,50,48,4.353121248226381
curvature,80,47,4.373740535429116
forward,80,47,4.373740535429116
scale,79,47,4.373740535429116
factor,64,47,4.373740535429116
fields,63,47,4.373740535429116
increases,62,47,4.373740535429116
position,55,47,4.373740535429116
wide,53,47,4.373740535429116
predictions,53,47,4.373740535429116
extension,52,47,4.373740535429116
provided,51,47,4.373740535429116
cooling,97,46,4.394793944626948
interference,93,46,4.394793944626948
law,76,46,4.394793944626948
reduction,66,46,4.394793944626948
process,63,46,4.394793944626948
times,61,46,4.394793944626948
varied,58,46,4.394793944626948
relations,56,46,4.394793944626948
generally,55,46,4.394793944626948
relatively,51,46,4.394793944626948
does,51,46,4.394793944626948
geometry,50,46,4.394793944626948
provide,47,46,4.394793944626948
control,89,45,4.4163001498479115
axially,62,45,4.4163001498479115
combined,55,45,4.4163001498479115
four,52,45,4.4163001498479115
suggested,51,45,4.4163001498479115
after,50,45,4.4163001498479115
examined,49,45,4.4163001498479115
respect,49,45,4.4163001498479115
across,47,45,4.4163001498479115
frequency,94,44,4.438279056566687
newtonian,79,44,4.438279056566687
performance,72,44,4.438279056566687
formula,56,44,4.438279056566687
information,54,44,4.438279056566687
expression,53,44,4.438279056566687
regions,52,44,4.438279056566687
interest,47,44,4.438279056566687
appropriate,46,44,4.438279056566687
experimentally,46,44,4.438279056566687
derivatives,109,43,4.460751912418746
vertical,73,43,4.460751912418746
unsteady,72,43,4.460751912418746
conduction,60,43,4.460751912418746
author,58,43,4.460751912418746
minimum,54,43,4.460751912418746
variable,52,43,4.460751912418746
forms,49,43,4.460751912418746
variables,49,43,4.460751912418746
leads,46,43,4.460751912418746
existing,46,43,4.460751912418746
importance,43,43,4.460751912418746
mixing,100,42,4.483741430643445
nonlinear,63,42,4.483741430643445
outer,59,42,4.483741430643445
configuration,55,42,4.483741430643445
close,54,42,4.483741430643445
