query_id,query_length,unique_query_terms,query_vocab_coverage_rate,mean_query_idf,max_query_idf,mean_overlap_on_relevant_docs,n_relevant_docs
1,12,9,0.6666666666666666,6.701631130312111,10.00066817315943,,0
2,9,6,0.8333333333333334,5.45510946518802,6.519428083823737,,0
3,21,14,0.5714285714285714,4.0170281723652,5.013642744702307,,0
4,15,14,0.5714285714285714,3.7725013577197366,5.857533446767897,,0
5,17,15,0.8,5.3244761182083,8.295920080921004,,0
6,7,6,0.6666666666666666,5.974615118009506,7.860602009663158,,0
7,14,9,0.8888888888888888,4.398755917389094,5.52902937979586,,0
8,21,16,0.8125,4.390076450203666,9.307520992599484,,0
9,10,9,0.5555555555555556,5.463934641135439,7.2926179720572195,,0
10,12,10,0.6,5.583648622789304,10.00066817315943,,0
11,12,9,0.7777777777777778,5.3268546528975325,7.2926179720572195,,0
12,17,13,0.6923076923076923,5.5575423334626235,7.649292915995951,,0
13,23,15,0.5333333333333333,5.293410546429829,7.985765152617164,,0
14,17,10,0.6,5.590598785930897,8.39123026072533,,0
15,11,10,0.6,4.87061675340866,6.534932270359702,,0
16,18,16,0.5625,4.636213851978175,6.3630820134330435,,0
17,10,8,0.75,5.251744909442146,9.595203065051265,,0
18,12,11,0.5454545454545454,5.2820335392966955,10.00066817315943,,0
19,33,26,0.6538461538461539,5.718764900654058,9.595203065051265,,0
20,22,18,0.7222222222222222,5.454123024489292,7.921226631479593,,0
21,24,18,0.7222222222222222,4.500799772386579,7.36161084354417,,0
22,31,23,0.9130434782608695,5.1350889081992115,7.197307792252894,,0
23,18,12,0.6666666666666666,4.421890131075642,5.966427535007034,,0
24,14,9,1.0,5.441438907662008,8.208908703931375,,0
25,17,15,0.6666666666666666,5.39145976381747,7.985765152617164,,0
26,23,14,0.7142857142857143,5.624907448132353,8.902055884491318,,0
27,15,13,0.6923076923076923,5.148402963842255,9.595203065051265,,0
28,22,17,0.8235294117647058,4.406719398862515,7.36161084354417,,0
29,15,11,0.6363636363636364,5.276578087533279,7.985765152617164,,0
30,17,13,0.7692307692307693,4.937984703052004,7.985765152617164,,0
31,14,11,0.7272727272727273,5.091807290183382,7.197307792252894,,0
32,14,11,0.8181818181818182,5.2718622106106885,10.00066817315943,,0
33,21,18,0.7222222222222222,4.764757302284152,6.801995055608748,,0
34,18,13,0.8461538461538461,5.601202809041382,8.614373812039538,,0
35,12,10,0.6,4.940126807205349,7.80344359582321,,0
36,5,4,0.75,4.667369761151488,5.50642954787862,,0
37,11,10,0.7,5.278535107010422,7.4749395288511735,,0
38,24,22,0.5909090909090909,4.293299500341779,6.030376259607308,,0
39,12,11,0.8181818181818182,4.294671129334118,6.35000993186569,,0
40,19,12,0.6666666666666666,4.165203983312466,5.484329200877953,,0
41,23,15,0.6,4.293753348176247,5.304743623902874,,0
42,14,12,0.75,4.2834345357487456,5.172354435857128,,0
43,7,5,0.8,6.158373188103809,7.860602009663158,,0
44,19,13,0.6923076923076923,4.126765115525222,7.08289744107515,,0
45,18,14,0.42857142857142855,5.443723037138601,9.307520992599484,,0
46,12,11,0.5454545454545454,4.33768209848839,6.822614342811484,,0
47,23,17,0.5882352941176471,4.349523593809348,7.08289744107515,,0
48,22,16,0.6875,4.691584607077692,9.307520992599484,,0
49,14,11,0.7272727272727273,4.8738121822242935,6.822614342811484,,0
50,20,15,0.7333333333333333,4.681715982572292,6.932615238025812,,0
