term,tf,df,idf
we,10401,6279,1.9486900942571301
results,5898,4736,2.2306560507956226
cells,12399,3901,2.4245708325363178
study,5132,3716,2.4731431834221222
also,4561,3654,2.489963981535496
protein,8305,3515,2.528736094914307
both,4848,3494,2.534726699051464
cell,8378,3479,2.539027780950854
gene,8370,3400,2.561990568712179
two,4588,3215,2.617921723420517
between,4590,3183,2.6279218067551007
patients,10076,3059,2.667645158772948
using,3658,2846,2.739794266441337
after,4908,2815,2.7507426364414416
expression,7023,2743,2.776643364873599
all,3584,2668,2.80435620431485
human,5641,2650,2.811123147430349
found,3385,2608,2.827093068582646
analysis,3618,2601,2.829779694646924
no,3551,2584,2.836334566776845
one,3180,2433,2.896524080171902
role,3083,2432,2.896935010935852
its,3205,2413,2.9047749520618975
more,3055,2326,2.9414801904170824
however,2495,2269,2.966280243243926
during,3616,2242,2.978245819199166
only,2608,2196,2.998967281334764
associated,3095,2194,2.9998780282101025
increased,3276,2171,3.010411672665548
activity,4408,2165,3.0131779261584386
suggest,2260,2153,3.0187334960030405
used,2608,2128,3.030407688825895
treatment,3806,2074,3.0560989210545757
studies,2640,1985,3.0999375091142563
data,2533,1978,3.1034684081168087
different,2584,1975,3.1049854754115613
factor,4215,1949,3.118230702161582
proteins,4090,1943,3.12131236869899
showed,2480,1941,3.122341704868104
effect,2932,1898,3.1447326429070883
most,2318,1892,3.147897202510052
growth,4598,1889,3.1494832456656865
observed,2336,1815,3.189423794558136
levels,3439,1808,3.1932858683240792
disease,3355,1802,3.196608130516057
genes,3567,1800,3.1977180085434185
our,2134,1794,3.201055052796995
high,2367,1769,3.2150805281514994
significant,2316,1769,3.2150805281514994
function,2505,1767,3.2162111105217854
compared,2325,1765,3.217342972555469
present,2016,1765,3.217342972555469
effects,2705,1758,3.221314608981816
three,2369,1740,3.2316004139511856
significantly,2389,1710,3.248982079827181
well,1947,1685,3.2637012151575737
dna,4621,1666,3.2750344709685804
control,2486,1657,3.280448018024134
10,2547,1612,3.3079642755941654
methods,1803,1607,3.3110689039804626
development,2396,1579,3.3286352276983617
identified,1964,1568,3.3356216009863418
clinical,2416,1561,3.340093023319743
important,1743,1553,3.3452278227917818
specific,1883,1518,3.3680078511236013
involved,1811,1489,3.3872839547798694
response,2448,1475,3.3967243485589567
system,2209,1468,3.401478177545497
normal,2300,1452,3.4124296901490916
induced,2233,1452,3.4124296901490916
new,1885,1424,3.4318882610166237
factors,2263,1413,3.4396375072628564
increase,2026,1411,3.4410529356661868
show,1617,1411,3.4410529356661868
within,1818,1403,3.446734769133618
similar,1631,1386,3.458916933404543
presence,1744,1376,3.4661528549907197
first,1658,1372,3.4690619479514035
did,1616,1358,3.4793109395682307
addition,1530,1357,3.480047045600733
expressed,2041,1353,3.482996900247154
including,1506,1341,3.491899036187747
group,3021,1328,3.5016332950061293
through,1624,1319,3.5084283381389576
although,1429,1298,3.524465337048775
several,1458,1275,3.5423298898146394
molecular,1722,1268,3.547830886004987
either,1488,1266,3.5494081733982354
tumor,3165,1261,3.553362310618216
some,1461,1254,3.55892450215349
activation,2478,1235,3.5741797157017383
thus,1313,1231,3.5774212096259093
family,1942,1221,3.5855712139878335
model,1923,1216,3.5896712607318473
time,1701,1213,3.5921393820999308
respectively,1580,1209,3.5954397151285877
whereas,1383,1208,3.5962665031045815
shown,1344,1208,3.5962665031045815
changes,1740,1200,3.602905531639391
use,1595,1196,3.6062416481614012
binding,2510,1194,3.6079138893537634
region,1988,1194,3.6079138893537634
studied,1317,1194,3.6079138893537634
further,1294,1194,3.6079138893537634
higher,1610,1192,3.609588931621458
revealed,1355,1192,3.609588931621458
cancer,3004,1189,3.6121067676137995
report,1281,1183,3.617161538275423
detected,1547,1181,3.618852155753331
number,1538,1181,3.618852155753331
while,1367,1178,3.6213934531820033
findings,1306,1172,3.626495505065899
indicate,1220,1170,3.628201990121657
receptor,2617,1166,3.631623721432818
cases,2282,1161,3.635917416307518
genetic,1953,1161,3.635917416307518
examined,1292,1161,3.635917416307518
evidence,1343,1154,3.6419597307634803
demonstrated,1330,1152,3.6436928334503156
they,1371,1149,3.646298132362079
here,1179,1148,3.647168075870619
level,1530,1142,3.6524036899245638
complex,1803,1128,3.6647277895697123
mice,3135,1124,3.668277039080854
mutations,2789,1121,3.6709472676367327
acid,1978,1112,3.6790010024438295
previously,1208,1108,3.682601366369007
low,1524,1098,3.691659399315753
vitro,1543,1094,3.695305711468773
each,1379,1093,3.696219370737448
related,1322,1086,3.702638466598165
type,1848,1083,3.7054021717197827
without,1358,1081,3.7072488943129476
known,1194,1081,3.7072488943129476
years,1635,1063,3.7240246838177846
investigated,1125,1056,3.730625367849137
common,1323,1053,3.7334676246180667
risk,2426,1050,3.736317982842423
sequence,1636,1044,3.742043189320463
reported,1212,1037,3.7487642899935403
potential,1213,1026,3.7594181437908163
major,1239,1023,3.7623435481199214
mechanism,1229,1020,3.765277535554709
novel,1373,1017,3.768220156608906
contrast,1120,1013,3.772157169568246
among,1385,1008,3.7771003333657656
early,1425,1004,3.7810725332261983
pathway,1663,1003,3.7820680534677
patient,1467,1000,3.7850605744041537
performed,1158,989,3.796110410590739
required,1288,983,3.802189456667121
conclusions,985,980,3.805242894154011
blood,1918,979,3.8062627820547568
vivo,1448,975,3.810352767306282
regulation,1300,975,3.810352767306282
whether,1097,973,3.8124040500768395
12,1412,972,3.8134312715333696
rate,1498,970,3.8154888854280493
same,1096,968,3.817550741828608
determined,1079,967,3.8185832664427974
functional,1265,961,3.824800903053668
due,1125,959,3.8268820692574925
four,1204,958,3.827924278835936
determine,1017,949,3.837353369124788
because,1056,947,3.8394608514643527
obtained,1093,946,3.840516260533296
many,1083,944,3.842630426225632
mutation,2130,940,3.846872214133995
age,1556,938,3.8489998745111116
groups,1429,935,3.8521998772417825
