,query_id,doc_id,relevance
0,1,12,3
1,1,13,4
2,1,14,4
3,1,15,4
4,1,29,2
5,1,30,3
6,1,31,2
7,1,37,3
8,1,51,3
9,1,52,4
10,1,56,3
11,1,57,2
12,1,66,3
13,1,95,3
14,1,102,3
15,1,142,4
16,1,184,2
17,1,185,3
18,1,195,4
19,1,378,2
20,1,462,4
21,1,497,3
22,1,858,3
23,1,859,2
24,1,875,2
25,1,876,3
26,1,879,3
27,1,880,3
28,2,12,1
29,2,14,4
30,2,15,2
31,2,51,3
32,2,52,4
33,2,102,3
34,2,184,2
35,2,202,3
36,2,285,3
37,2,380,4
38,2,390,3
39,2,391,3
40,2,442,4
41,2,497,3
42,2,643,3
43,2,658,3
44,2,746,1
45,2,856,3
46,2,857,3
47,2,858,2
48,2,859,2
49,2,864,3
50,2,877,3
51,2,948,2
52,3,5,3
53,3,6,3
54,3,90,3
55,3,91,3
56,3,119,3
57,3,144,3
58,3,181,3
59,3,399,3
60,4,166,3
61,4,236,3
62,5,401,3
63,5,552,1
64,5,1296,1
65,5,1297,3
66,6,99,2
67,6,115,3
68,6,257,3
69,6,258,3
70,7,19,4
71,7,20,2
72,7,56,3
73,7,57,3
74,7,58,3
75,8,20,3
76,8,48,1
77,8,58,3
78,8,122,1
79,8,196,3
80,8,197,3
81,8,354,1
82,8,360,1
83,8,999,3
84,8,1005,1
85,8,1112,3
86,9,21,2
87,9,22,2
88,9,550,2
89,10,259,2
90,10,302,3
91,10,405,2
92,10,436,3
93,10,437,3
94,10,438,3
95,10,998,3
96,10,1011,3
97,11,20,4
98,11,27,3
99,11,28,3
100,11,160,4
101,11,262,3
102,11,263,3
103,11,654,4
104,12,86,2
105,12,194,2
106,12,649,4
107,12,650,2
108,12,652,2
109,13,64,2
110,13,65,4
111,13,265,2
112,13,311,4
113,14,64,1
114,14,65,4
115,15,462,3
116,15,463,1
117,16,106,3
118,16,196,3
119,16,266,2
120,17,106,2
121,17,196,3
122,18,196,2
123,18,197,2
124,18,198,2
125,19,32,2
126,19,67,2
127,19,164,2
128,19,639,3
129,19,715,3
130,19,716,3
131,19,717,3
132,19,719,4
133,19,1379,4
134,20,87,3
135,20,88,3
136,20,104,3
137,20,267,3
138,20,268,3
