query_id,precision,recall,f1,ap,ndcg,hit,rr,relevant_count,retrieved_count,hit_count,has_relevance
1,0.4,0.21428571428571427,0.27906976744186046,0.23555555555555555,0.2623163950801575,1.0,0.5,28.0,15.0,6.0,1.0
2,0.26666666666666666,0.16666666666666666,0.2051282051282051,0.22666666666666666,0.5462583619114594,1.0,1.0,24.0,15.0,4.0,1.0
3,0.4666666666666667,0.875,0.608695652173913,0.6304383116883118,0.7378193412608631,1.0,0.5,8.0,15.0,7.0,1.0
4,0.13333333333333333,1.0,0.23529411764705882,0.45,0.6240505200038378,1.0,0.5,2.0,15.0,2.0,1.0
5,0.13333333333333333,0.5,0.2105263157894737,0.13392857142857142,0.27370688825009853,1.0,0.25,4.0,15.0,2.0,1.0
6,0.06666666666666667,0.25,0.10526315789473685,0.125,0.16198704243977863,1.0,0.5,4.0,15.0,1.0,1.0
7,0.13333333333333333,0.4,0.2,0.13,0.20316888566115962,1.0,0.25,5.0,15.0,2.0,1.0
8,0.06666666666666667,0.09090909090909091,0.07692307692307691,0.09090909090909091,0.3009086461489283,1.0,1.0,11.0,15.0,1.0,1.0
9,0.2,1.0,0.33333333333333337,0.7555555555555555,0.8854598815714875,1.0,1.0,3.0,15.0,3.0,1.0
10,0.2,0.375,0.26086956521739135,0.14375,0.2943559748239079,1.0,0.5,8.0,15.0,3.0,1.0
11,0.13333333333333333,0.2857142857142857,0.18181818181818182,0.0695970695970696,0.14700575291481743,1.0,0.3333333333333333,7.0,15.0,2.0,1.0
12,0.13333333333333333,0.4,0.2,0.2,0.26461181180833776,1.0,0.5,5.0,15.0,2.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,1.0
14,0.13333333333333333,1.0,0.23529411764705882,0.6,0.9781289448136982,1.0,1.0,2.0,15.0,2.0,1.0
15,0.13333333333333333,1.0,0.23529411764705882,1.0,0.7378264247076021,1.0,1.0,2.0,15.0,2.0,1.0
16,0.06666666666666667,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.1821252421493118,1.0,0.5,3.0,15.0,1.0,1.0
17,0.06666666666666667,0.5,0.11764705882352941,0.125,0.3390090350877799,1.0,0.25,2.0,15.0,1.0,1.0
