query_id,precision,recall,f1,ap,ndcg,hit,rr,relevant_count,retrieved_count,hit_count,has_relevance
1,0.6,0.10714285714285714,0.18181818181818182,0.35333333333333333,0.3428941990841632,1.0,0.5,28.0,5.0,3.0,1.0
2,0.4,0.08333333333333333,0.13793103448275862,0.3333333333333333,0.4898082501109598,1.0,1.0,24.0,5.0,2.0,1.0
3,0.8,0.5,0.6153846153846154,0.5433333333333333,0.6608397947263838,1.0,0.5,8.0,5.0,4.0,1.0
4,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0
5,0.2,0.25,0.22222222222222224,0.0625,0.2370176865566867,1.0,0.25,4.0,5.0,1.0,1.0
6,0.2,0.25,0.22222222222222224,0.0625,0.1105733585958571,1.0,0.25,4.0,5.0,1.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0
8,0.2,0.09090909090909091,0.12500000000000003,0.1,0.21398626473452756,1.0,0.5,11.0,5.0,1.0,1.0
9,0.6,1.0,0.7499999999999999,1.0,1.0,1.0,1.0,3.0,5.0,3.0,1.0
10,0.4,0.25,0.3076923076923077,0.4,0.4825598132777089,1.0,1.0,8.0,5.0,2.0,1.0
11,0.2,0.14285714285714285,0.16666666666666666,0.06666666666666667,0.061945036415174556,1.0,0.3333333333333333,7.0,5.0,1.0,1.0
12,0.2,0.2,0.20000000000000004,0.1,0.24110082383082423,1.0,0.5,5.0,5.0,1.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,1.0
14,0.2,0.5,0.28571428571428575,0.5,0.9596358141506395,1.0,1.0,2.0,5.0,1.0,1.0
15,0.2,0.5,0.28571428571428575,0.125,0.38242046777464533,1.0,0.25,2.0,5.0,1.0,1.0
16,0.2,0.3333333333333333,0.25,0.16666666666666666,0.1821252421493118,1.0,0.5,3.0,5.0,1.0,1.0
17,0.2,0.5,0.28571428571428575,0.1,0.30451296789464855,1.0,0.2,2.0,5.0,1.0,1.0
18,0.2,0.3333333333333333,0.25,0.08333333333333333,0.2021073465005476,1.0,0.25,3.0,5.0,1.0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0
20,0.8,0.4444444444444444,0.5714285714285714,0.5433333333333333,0.6608397947263838,1.0,0.5,9.0,5.0,4.0,1.0
21,0.2,0.25,0.22222222222222224,0.0625,0.2668541315733997,1.0,0.25,4.0,5.0,1.0,1.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
23,0.6,0.09375,0.16216216216216214,0.3833333333333333,0.26512709599157824,1.0,0.5,32.0,5.0,3.0,1.0
24,0.4,0.6666666666666666,0.5,0.38888888888888884,0.6128984789428379,1.0,0.5,3.0,5.0,2.0,1.0
25,0.6,0.3333333333333333,0.42857142857142855,0.4533333333333333,0.4406689087088895,1.0,1.0,9.0,5.0,3.0,1.0
26,0.2,0.16666666666666666,0.1818181818181818,0.05,0.19177175570339983,1.0,0.25,6.0,5.0,1.0,1.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0
29,0.2,0.1111111111111111,0.14285714285714285,0.06666666666666667,0.026189250454314566,1.0,0.3333333333333333,9.0,5.0,1.0,1.0
30,0.2,0.14285714285714285,0.16666666666666666,0.04,0.15590734214446253,1.0,0.2,7.0,5.0,1.0,1.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
32,0.4,0.3333333333333333,0.3636363636363636,0.2,0.08794194659356239,1.0,0.5,6.0,5.0,2.0,1.0
33,0.6,1.0,0.7499999999999999,0.5333333333333333,0.5717853415779118,1.0,0.5,3.0,5.0,3.0,1.0
34,0.4,0.3333333333333333,0.3636363636363636,0.2,0.5159885471858259,1.0,0.5,6.0,5.0,2.0,1.0
35,0.2,0.3333333333333333,0.25,0.06666666666666667,0.04469884539639364,1.0,0.2,3.0,5.0,1.0,1.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0
37,0.4,0.2222222222222222,0.2857142857142857,0.14666666666666667,0.27379421334117143,1.0,0.3333333333333333,9.0,5.0,2.0,1.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,1.0
39,0.4,0.15384615384615385,0.2222222222222222,0.27999999999999997,0.4797318085667023,1.0,1.0,13.0,5.0,2.0,1.0
40,0.2,0.09090909090909091,0.12500000000000003,0.06666666666666667,0.0726771868443463,1.0,0.3333333333333333,11.0,5.0,1.0,1.0
41,0.6,1.0,0.7499999999999999,1.0,0.962543268492907,1.0,1.0,3.0,5.0,3.0,1.0
42,0.2,0.2,0.20000000000000004,0.04,0.09613899768741478,1.0,0.2,5.0,5.0,1.0,1.0
43,0.4,0.3333333333333333,0.3636363636363636,0.3333333333333333,0.4794207286670266,1.0,1.0,6.0,5.0,2.0,1.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0
