query_id,precision,recall,f1,ap,ndcg,hit,rr,relevant_count,retrieved_count,hit_count,has_relevance
1,1.0,0.12195121951219512,0.21739130434782605,1.0,0.3333333333333333,1.0,1.0,41.0,5.0,5.0,1.0
2,1.0,0.07692307692307693,0.14285714285714288,1.0,0.7994765465672333,1.0,1.0,65.0,5.0,5.0,1.0
3,0.8,0.031007751937984496,0.059701492537313425,0.6433333333333333,0.48811138193756815,1.0,1.0,129.0,5.0,4.0,1.0
4,0.6,0.15,0.24,0.55,0.6992148198508501,1.0,1.0,20.0,5.0,3.0,1.0
5,1.0,0.3125,0.47619047619047616,1.0,1.0,1.0,1.0,16.0,5.0,5.0,1.0
6,1.0,0.08620689655172414,0.15873015873015872,1.0,1.0,1.0,1.0,58.0,5.0,5.0,1.0
7,1.0,0.0641025641025641,0.12048192771084336,1.0,1.0,1.0,1.0,78.0,5.0,5.0,1.0
8,0.4,0.017543859649122806,0.03361344537815126,0.18,0.3451913422468693,1.0,0.5,114.0,5.0,2.0,1.0
9,1.0,0.06097560975609756,0.11494252873563218,1.0,0.3652848149752749,1.0,1.0,82.0,5.0,5.0,1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0
11,0.6,0.03409090909090909,0.06451612903225806,0.42000000000000004,0.4315846810586321,1.0,1.0,88.0,5.0,3.0,1.0
12,0.2,0.005494505494505495,0.010695187165775402,0.2,0.33916020527361607,1.0,1.0,182.0,5.0,1.0,1.0
13,1.0,0.25,0.4,1.0,0.9026211001048622,1.0,1.0,20.0,5.0,5.0,1.0
14,0.6,0.16666666666666666,0.2608695652173913,0.4833333333333333,0.42870185423738655,1.0,1.0,18.0,5.0,3.0,1.0
15,0.4,0.03125,0.057971014492753624,0.27999999999999997,0.47036528278595785,1.0,1.0,64.0,5.0,2.0,1.0
16,1.0,0.045454545454545456,0.08695652173913045,1.0,0.6864231448093613,1.0,1.0,110.0,5.0,5.0,1.0
17,0.2,1.0,0.33333333333333337,0.3333333333333333,0.5,1.0,0.3333333333333333,1.0,5.0,1.0,1.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0
20,0.8,0.05194805194805195,0.0975609756097561,0.71,0.5029134359701414,1.0,1.0,77.0,5.0,4.0,1.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,5.0,0.0,1.0
